Số tuyến,Lộ trình đi,Lộ trình về,Khoảng cách,Giờ hoạt động,Thời gian chuyến,Giãn cách,Loại xe,Đơn vị vận hành
23,"Chợ LớnBến xe buýt Chợ Lớn B, Quận 5","Cầu LớnBến xe buýt Cầu LớnNguyễn Văn Bứa, Huyện Hóc Môn","23,45 km",04:00 - 19:30,75 phút,12 – 15 phút,HTX Vận tải 19/5,Tiền mặt
24,"Bến xe Miền ĐôngĐinh Bộ Lĩnh, Quận Bình Thạnh","Hóc MônBãi xe buýt 19 tháng 5,Huyện Hóc Môn","26,1 km",04:00 - 20:30,6 – 12 phút,1-5auto Transinco B80KL,HTX Vận tải 19/5,Tiền mặt
25,"Bến xe buýtQuận 8Quốc lộ 50, Quận 8",Khu dân cư Vĩnh Lộc ABãi xe khu dân cư Vĩnh Lộc AHuyện Bình Chánh,"22,3 km",04:50 - 19:00,60 phút,13 – 20 phút,Bahai HC B40(2014),
27,Bến xe buýt Sài GònQuận 1,"Bến xe An SươngQuốc lộ 22, Huyện Hóc Môn","15,6 km",05:00 - 20:00,55 – 65 phút,8 – 14 phút,Samco City H.68 CNG,
28,"Chợ Xuân Thới ThượngBãi xe Chợ Xuân Thới ThượngPhan Văn Hớn, Huyện Hóc Môn","26,45 km",04:45 - 19:00,70 – 85 phút,10 – 20 phút,Samco City I.47,,Tiền mặtThẻ ngân hàng
29,"Phà Cát LáiBãi xe bến phà Cát LáiĐường A, Thành phố Thủ Đức","Chợ nông sản Thủ ĐứcBãi xe Chợ nông sản Thủ ĐứcQuốc lộ 1A, Thành phố Thủ Đức","20,75 km",05:00 - 19:30,70 phút,8 – 15 phút,Golden Dragon B55,
30,"Cư xá Nhiêu LộcLê Thúc Hoạch, Quận Tân Phú","Bến xe buýt Văn ThánhNguyễn Văn Thương, Quận Bình Thạnh","18,30 km",05:00 - 19:30,60 phút,12 – 20 phút,Samco City H.68 CNG,
31,"Đại học Tôn Đức ThắngNguyễn Hữu Thọ, Quận 7","Đại học Văn LangCông viên Đặng Thùy TrâmĐặng Thùy Trâm, Quận Bình Thạnh","21,27 km",05:00 - 19:00,70 – 80 phút,12 – 18 phút,Samco City I.40,
32,"Bến xe Miền TâyKinh Dương Vương, Quận Bình Tân","Bến xe Ngã tư GaQuốc lộ 1A, Quận 12","24,8 km",04:00 - 19:30,80 phút,9 – 15 phút,Samco City I.51 CNG,
33,"Bến xe An SươngQuốc lộ 22, Huyện Hóc Môn","Đại học Quốc giaBến xe buýt Ký túc xá khu B, Đại học Quốc giaThành phố Thủ Đức","29,05 km",04:30 - 21:15,55 phút,4 – 10 phút,Hyundai New Super Aero City CNGHyundai New Super Aero City Low Floor CNGSamco City H.68 CNGHyundai Super Aero City CNG,HTX Vận tải 19/5
34,"Bến ThànhBến xe buýt Sài Gòn, Quận 1","Bến xe buýtQuận 8Quốc lộ 50, Quận 8","22,05 km",05:00 - 19:00,60 phút,12 – 15 phút,Bahai HC B40 (2014/2016),HTX Vận tải số 26
36,"Thới AnBến xe buýt Thới AnLê Văn Khương, Quận 12","18,97 km",04:45 - 20:00,65 – 70 phút,10 – 15 phút,Samco City I.47,,Tiền mặtThẻ ngân hàng
38,"Khu dân cư Tân QuyNguyễn Thị Thập, Quận 7","Đầm SenBến xe buýt Đầm SenHòa Bình, Quận 11","16,57 km",05:15 - 19:00,60 – 65 phút,12 – 17 phút,,Tiền mặtThẻ ngân hàng
39,"Bến ThànhBến xe buýt Sài Gòn,Quận 1","Bến xe Miền TâyKinh Dương Vương, Quận Bình Tân","17,57 km",05:00 - 19:30,55 phút,12 – 18 phút,,Tiền mặtThẻ ngân hàng
41,"Bến xe Miền TâyKinh Dương Vương, Quận Bình Tân","Bến xe An SươngQuốc lộ 22, Huyện Hóc Môn","22,15 km",05:00 - 19:20,60 phút,10 – 15 phút,Golden Dragon B55,
43,"Bến xe Miền ĐôngĐinh Bộ Lĩnh, Quận Bình Thạnh","Phà Cát LáiBãi xe bến phà Cát LáiĐường A, Thành phố Thủ Đức","15,8 km",05:00 - 19:00,50 – 55 phút,14 – 16 phút,Samco City Hi-Class I.40,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến (Bao Yen Group)"
44,"CảngQuận 4Bến xe buýt Kho MuốiTôn Thất Thuyết, Quận 4","Bình QuớiBãi xe bến đò Bình QuớiBình Quới, Quận Bình Thạnh","16,75 km",60 phút,15 – 20 phút,NGT County B40Bahai HC B40 (2015),,Tiền mặt
45,"Đại học Kinh tếNguyễn Văn Linh, Huyện Bình Chánh","Bến xe Miền ĐôngĐinh Bộ Lĩnh, Quận Bình Thạnh","22,3 km",04:45 - 20:00,70 – 80 phút,10 – 15 phút,Samco City H.68 CNG,
46,"CảngQuận 4Bến xe buýt Kho MuốiTôn Thất Thuyết, Quận 4","Bến Mễ CốcBãi xe Bến Mễ CốcLưu Hữu Phước, Quận 8","19,75 km",05:00 - 18:45,65 phút,12 – 15 phút,NGT County B40,
